,row_1,row_2,correct,incorrect,newrow1,newrow2
1493660,143,8463,77,0,144,8464
5092295,498,8463,77,1,499,8464
52700688,8463,10051,77,2,8464,10052
46411769,6389,8463,75,2,6390,8464
37801349,4646,8463,75,1,4647,8464
3910112,380,8463,75,2,381,8464
11429164,1156,8463,75,1,1157,8464
35084924,4196,8463,74,1,4197,8464
14381384,1479,8463,74,1,1480,8464
1486353,143,1156,73,2,144,1157
1489843,143,4646,73,3,144,4647
1485695,143,498,73,2,144,499
1491586,143,6389,73,1,144,6390
17298487,1810,8463,73,2,1811,8464
5088478,498,4646,72,2,499,4647
14377567,1479,4646,72,4,1480,4647
39516329,4949,8463,72,1,4950,8464
1486676,143,1479,72,1,144,1480
32165999,3746,8463,72,2,3747,8464
42602129,5541,8463,72,1,5542,8464
1485577,143,380,72,1,144,381
1495248,143,10051,72,0,144,10052
3902805,380,1156,72,2,381,1157
6162089,606,8463,71,1,607,8464
45389287,6145,8463,71,0,6146,8464
1489393,143,4196,71,1,144,4197
3906295,380,4646,71,3,381,4647
14382972,1479,10051,71,2,1480,10052
3902147,380,498,71,1,381,499
5090221,498,6389,71,2,499,6390
5084988,498,1156,71,1,499,1157
1490146,143,4949,71,3,144,4950
11425347,1156,4646,71,2,1157,4647
5093883,498,10051,71,1,499,10052
1490738,143,5541,70,1,144,5542
37802937,4646,10051,70,2,4647,10052
46975487,6530,8463,70,0,6531,8464
1486180,143,983,70,6,144,984
14377117,1479,4196,70,2,1480,4197
1487007,143,1810,70,1,144,1811
5085311,498,1479,70,1,499,1480
5707862,560,8463,70,2,561,8464
11430752,1156,10051,70,1,1157,10052
1485846,143,649,70,2,144,650
49313834,7179,8463,70,1,7180,8464
11422511,1156,1810,70,3,1157,1811
7093469,701,8463,70,1,702,8464
3911700,380,10051,70,2,381,10052
52016599,8146,8463,70,3,8147,8464
1487917,143,2720,70,3,144,2721
1492919,143,7722,70,3,144,7723
6584779,649,8463,70,2,650,8464
31578314,3659,8463,70,2,3660,8464
3905845,380,4196,70,3,381,4197
35086512,4196,10051,70,2,4197,10052
49257955,7162,8463,70,0,7163,8464
26536859,2954,8463,69,1,2955,8464
50946635,7722,8463,69,0,7723,8464
11426242,1156,5541,69,2,1157,5542
1485803,143,606,69,3,144,607
1486587,143,1390,69,5,144,1391
17300075,1810,10051,69,2,1811,10052
3908038,380,6389,69,3,381,6390
42997085,5622,8463,69,1,5623,8464
29472464,3356,8463,69,1,3357,8464
1487904,143,2707,69,1,144,2708
5085642,498,1810,69,0,499,1811
24753662,2720,8463,69,1,2721,8464
28983433,3288,4646,69,8,3289,4647
11427090,1156,6389,69,1,1157,6390
22113559,2386,8463,69,1,2387,8464
52540487,8385,8463,69,1,8386,8464
52699116,8463,8479,69,3,8464,8480
52700759,8463,10122,69,3,8464,10123
11422180,1156,1479,69,1,1157,1480
52700433,8463,9796,69,1,8464,9797
24652990,2707,8463,69,0,2708,8464
46413357,6389,10051,69,2,6390,10052
28987250,3288,8463,69,1,3289,8464
3903128,380,1479,69,2,381,1480
43337885,5693,8463,69,0,5694,8464
5088028,498,4196,69,1,499,4197
11425650,1156,4949,69,3,1157,4950
17294220,1810,4196,69,3,1811,4197
42404669,5501,8463,68,2,5502,8464
1488943,143,3746,68,4,144,3747
3903459,380,1810,68,2,381,1811
38463059,4761,8463,68,0,4762,8464
11423655,1156,2954,68,5,1157,2955
6154782,606,1156,68,3,607,1157
3902209,380,560,68,1,381,561
29755724,3396,8463,68,1,3397,8464
5701209,560,1810,68,4,561,1811
1488151,143,2954,68,2,144,2955
1490819,143,5622,68,7,144,5623
13578337,1390,8463,68,0,1391,8464
1487979,143,2782,68,2,144,2783
42603717,5541,10051,68,0,5542,10052
3907190,380,5541,68,3,381,5542
1485898,143,701,68,3,144,702
35051698,4191,6557,18,49,4192,6558
42153688,5451,6557,16,43,5452,6558
50779093,7661,9647,23,41,7662,9648
46449133,6398,9251,29,40,6399,9252
593302,56,9251,19,39,57,9252
19418413,2059,6162,22,39,2060,6163
45463503,6162,9511,19,39,6163,9512
40060094,5049,6378,17,38,5050,6379
2372175,229,3629,20,38,230,3630
3380458,328,4191,17,38,329,4192
946314,90,9190,16,37,91,9191
35054622,4191,9481,19,37,4192,9482
41954514,5411,8443,40,37,5412,8444
35050592,4191,5451,17,37,4192,5452
54361095,9647,9898,23,37,9648,9899
941315,90,4191,15,37,91,4192
31918173,3709,9647,22,36,3710,9648
19415732,2059,3481,24,36,2060,3482
25347041,2797,9019,22,36,2798,9020
1916898,184,9647,24,36,185,9648
40063363,5049,9647,25,36,5050,9648
19421762,2059,9511,19,36,2060,9512
7384163,731,6912,21,36,732,6913
15560276,1612,2059,23,36,1613,2060
46368139,6378,9647,18,36,6379,9648
7571235,750,9361,40,36,751,9362
24747108,2719,9647,25,35,2720,9648
42156612,5451,9481,17,35,5452,9482
46646018,6447,8421,25,35,6448,8422
45918452,6270,6378,15,35,6271,6379
35054607,4191,9466,18,35,4192,9467
47082183,6557,9481,19,35,6558,9482
19417813,2059,5562,23,35,2060,5563
942575,90,5451,14,35,91,5452
1913629,184,6378,16,35,185,6379
3386271,328,10004,16,35,329,10005
53961897,9251,10066,20,35,9252,10067
50778845,7661,9399,23,35,7662,9400
36283446,4391,5005,35,35,4392,5006
30350038,3481,6162,26,35,3482,6163
7385575,731,8324,23,35,732,8325
28859427,3270,9853,26,35,3271,9854
46366153,6378,7661,16,34,6379,7662
54129088,9399,9647,20,34,9400,9648
50779344,7661,9898,20,34,7662,9899
41355184,5294,6398,37,34,5295,6399
35052988,4191,7847,14,34,4192,7848
22932834,2488,9647,25,34,2489,9648
19420806,2059,8555,19,34,2060,8556
52145263,8202,9251,15,34,8203,9252
35054156,4191,9015,18,34,4192,9016
51081015,7771,10004,22,34,7772,10005
41358037,5294,9251,30,34,5295,9252
943681,90,6557,15,34,91,6558
51072458,7768,9511,19,33,7769,9512
35052912,4191,7771,14,33,4192,7772
47082168,6557,9466,16,33,6558,9467
54212880,9481,10004,20,33,9482,10005
54129339,9399,9898,22,33,9400,9899
27628808,3101,8202,20,33,3102,8203
41036238,5232,9511,22,33,5233,9512
30846334,3552,9647,25,33,3553,9648
54361186,9647,9989,24,33,9648,9990
