,row_1,row_2,correct,incorrect,newrow1,newrow2
2346830,336,711,82,1,337,712
2352586,336,6467,81,1,337,6468
2347702,336,1583,80,1,337,1584
2350170,336,4051,80,1,337,4052
2349090,336,2971,80,1,337,2972
4837711,711,6467,79,1,712,6468
4834215,711,2971,79,1,712,2972
4832827,711,1583,78,1,712,1584
2352126,336,6007,78,0,337,6008
10069267,1583,2971,78,4,1584,2972
16837181,2971,6467,78,2,2972,6468
2348537,336,2418,78,0,337,2419
2350520,336,4401,77,1,337,4402
19597595,3694,6467,77,1,3695,6468
2347233,336,1114,77,1,337,1115
7348129,1114,2971,77,5,1115,2972
10072763,1583,6467,77,2,1584,6468
2351506,336,5387,77,2,337,5388
4833662,711,2418,77,1,712,2419
2349813,336,3694,77,1,337,3695
16373853,2862,4645,39,38,2863,4646
6268929,938,1683,28,37,939,1684
2011487,287,479,21,35,288,480
12592320,2056,4461,42,33,2057,4462
134761,18,6215,21,32,19,6216
12099008,1960,4829,28,31,1961,4830
15280983,2614,6075,17,31,2615,6076
22976558,4873,5237,19,31,4874,5238
919963,129,5870,15,31,130,5871
8742735,1349,6612,16,30,1350,6613
25426911,6612,7078,22,30,6613,7079
5856227,872,1184,15,30,873,1185
2012744,287,1736,17,30,288,1737
11207182,1791,4478,28,30,1792,4479
5315322,786,3928,19,30,787,3929
2012799,287,1791,24,30,288,1792
19419358,3643,5812,16,29,3644,5813
20378004,3928,5433,19,29,3929,5434
21388418,4258,6872,22,29,4259,6873
25134019,6215,6775,21,29,6216,6776
