,row_1,row_2,correct,incorrect,newrow1,newrow2
2569729,260,2360,78,2,261,2361
2571375,260,4006,76,2,261,4007
1213366,122,260,75,1,123,261
1215466,122,2360,75,0,123,2361
2567841,260,472,74,1,261,473
2571411,260,4042,74,2,261,4043
20829861,2360,4042,74,2,2361,4043
2570015,260,2646,74,4,261,2647
20829825,2360,4006,74,0,2361,4007
2569178,260,1809,74,2,261,1810
2568823,260,1454,74,1,261,1455
4613091,472,2360,73,0,473,2361
13491844,1454,2360,73,1,1455,2361
2573879,260,6510,73,4,261,6511
20831170,2360,5351,73,0,2361,5352
20832329,2360,6510,73,1,2361,6511
2570893,260,3524,73,4,261,3525
2572720,260,5351,73,2,261,5352
20832199,2360,6380,73,1,2361,6381
2573749,260,6380,72,1,261,6381
2573445,260,6076,72,4,261,6077
20828922,2360,3103,72,4,2361,3104
2571812,260,4443,72,1,261,4444
1217112,122,4006,72,0,123,4007
2570191,260,2822,72,4,261,2823
20829343,2360,3524,71,1,2361,3525
29050575,3524,4006,71,3,3525,4007
11726734,1250,2360,71,0,1251,2361
20828465,2360,2646,71,1,2361,2647
20831895,2360,6076,71,1,2361,6077
6574219,680,2360,71,0,681,2361
16465905,1809,4006,71,2,1810,4007
2568049,260,680,71,1,261,681
32060084,4006,6076,71,3,4007,6077
20830262,2360,4443,71,0,2361,4444
16464259,1809,2360,71,0,1810,2361
20831377,2360,5558,71,2,2361,5559
2570175,260,2806,71,1,261,2807
2570472,260,3103,71,1,261,3104
16468279,1809,6380,70,3,1810,6381
20828625,2360,2806,70,1,2361,2807
2568606,260,1237,70,1,261,1238
11612841,1237,2360,70,1,1238,2361
1215752,122,2646,70,1,123,2647
13492130,1454,2646,70,5,1455,2647
4614737,472,4006,70,0,473,4007
32058050,4006,4042,70,0,4007,4043
1219486,122,6380,70,1,123,6381
20828641,2360,2822,70,2,2361,2823
2574970,260,7601,70,1,261,7602
2570555,260,3186,70,3,261,3187
1214915,122,1809,70,0,123,1810
